date,income,expenses,investments,target
2022-01-01,5000,2000,300,2700
2022-02-01,5200,2100,310,2790
2022-03-01,5300,2200,320,2780
2022-04-01,5400,2300,330,2770
2022-05-01,5500,2400,340,2760
2022-06-01,5600,2500,350,2750
2022-07-01,5700,2600,360,2740
2022-08-01,5800,2700,370,2730
2022-09-01,5900,2800,380,2720
2022-10-01,6000,2900,390,2710
2022-11-01,6100,3000,400,2700
2022-12-01,6200,3100,410,2690
2023-01-01,6300,3200,420,2680
2023-02-01,6400,3300,430,2670
2023-03-01,6500,3400,440,2660
2023-04-01,6600,3500,450,2650
2023-05-01,6700,3600,460,2640
2023-06-01,6800,3700,470,2630
2023-07-01,6900,3800,480,2620
2023-08-01,7000,3900,490,2610
2023-09-01,7100,4000,500,2600
2023-10-01,7200,4100,510,2590
2023-11-01,7300,4200,520,2580
2023-12-01,7400,4300,530,2570
2024-01-01,7500,4400,540,2560
2024-02-01,7600,4500,550,2550
2024-03-01,7700,4600,560,2540
2024-04-01,7800,4700,570,2530
2024-05-01,7900,4800,580,2520
2024-06-01,8000,4900,590,2510
2024-07-01,8100,5000,600,2500
2024-08-01,8200,5100,610,2490
2024-09-01,8300,5200,620,2480
2024-10-01,8400,5300,630,2470
2024-11-01,8500,5400,640,2460
2024-12-01,8600,5500,650,2450
2025-01-01,8700,5600,660,2440
2025-02-01,8800,5700,670,2430
2025-03-01,8900,5800,680,2420
2025-04-01,9000,5900,690,2410
2025-05-01,9100,6000,700,2400
2025-06-01,9200,6100,710,2390
2025-07-01,9300,6200,720,2380
2025-08-01,9400,6300,730,2370
2025-09-01,9500,6400,740,2360
2025-10-01,9600,6500,750,2350
2025-11-01,9700,6600,760,2340
2025-12-01,9800,6700,770,2330
